 #.record         time (fs)       #.carrier/u.c.    mean velocity parallel to ext. field
        0            0.0000   1.8642024319656162E-06   5.8382949223040126E-03
        1          100.0000   1.8642024319656168E-06  -1.1871406070380863E+00
        2          200.0000   1.8642024319656168E-06  -2.3205363926037679E+00
        3          300.0000   1.8642024319656168E-06  -3.0836803722606052E+00
        4          400.0000   1.8642024319656162E-06  -3.5660458750320441E+00
        5          500.0000   1.8642024319656160E-06  -3.8667005080367165E+00
        6          600.0000   1.8642024319656168E-06  -4.0528105250445376E+00
        7          700.0000   1.8642024319656168E-06  -4.1669040528990431E+00
        8          800.0000   1.8642024319656164E-06  -4.2357796716012714E+00
        9          900.0000   1.8642024319656162E-06  -4.2763495760193146E+00
       10         1000.0000   1.8642024319656164E-06  -4.2992725164712660E+00
       11         1100.0000   1.8642024319656170E-06  -4.3112382907504445E+00
       12         1200.0000   1.8642024319656168E-06  -4.3164217340914064E+00
       13         1300.0000   1.8642024319656168E-06  -4.3174120301145411E+00
       14         1400.0000   1.8642024319656158E-06  -4.3158055465949028E+00
       15         1500.0000   1.8642024319656164E-06  -4.3125818885311480E+00
       16         1600.0000   1.8642024319656164E-06  -4.3083407057867262E+00
       17         1700.0000   1.8642024319656164E-06  -4.3034495249306142E+00
       18         1800.0000   1.8642024319656168E-06  -4.2981352139971909E+00
       19         1900.0000   1.8642024319656160E-06  -4.2925400380187595E+00
       20         2000.0000   1.8642024319656164E-06  -4.2867556670158207E+00
       21         2100.0000   1.8642024319656162E-06  -4.1555664654107805E+05
       22         2200.0000   1.8642024319656158E-06  -8.3103734525405464E+05
       23         2300.0000   1.8642024319656160E-06  -1.2466327193483578E+06
       24         2400.0000   1.8642024319656162E-06  -1.6624950470444146E+06
       25         2500.0000   1.8642024319656162E-06  -2.0787626594162665E+06
       26         2600.0000   1.8642024319656168E-06  -2.4955663148243781E+06
       27         2700.0000   1.8642024319656164E-06  -2.9130322048943844E+06
       28         2800.0000   1.8642024319656162E-06  -3.3312835315465196E+06
