 #.record         time (fs)       #.carrier/u.c. 
        0            0.0000   4.4778756285092846E-03
        1           10.0000   4.4869748074234462E-03
        2           20.0000   4.4922712691732010E-03
        3           30.0000   4.4953573887756351E-03
        4           40.0000   4.4971573402954228E-03
        5           50.0000   4.4982080139133870E-03
        6           60.0000   4.4988214475922333E-03
        7           70.0000   4.4991791483756163E-03
        8           80.0000   4.4993868652836652E-03
        9           90.0000   4.4995063611047749E-03
       10          100.0000   4.4995738263659650E-03
       11          120.0000   4.4996280723240620E-03
       12          140.0000   4.4996379177335306E-03
       13          160.0000   4.4996324919425968E-03
       14          180.0000   4.4996225380685264E-03
       15          200.0000   4.4996120032569703E-03
       16          220.0000   4.4996022693922074E-03
       17          240.0000   4.4995937362599841E-03
       18          260.0000   4.4995864299546646E-03
       19          280.0000   4.4995802424658586E-03
       20          300.0000   4.4995750274379109E-03
       21          320.0000   4.4995706381069879E-03
       22          340.0000   4.4995669413755018E-03
       23          360.0000   4.4995638218973929E-03
       24          380.0000   4.4995611820289631E-03
       25          400.0000   4.4995589401809364E-03
       26          420.0000   4.4995570286839506E-03
       27          440.0000   4.4995553916486394E-03
       28          460.0000   4.4995539830156063E-03
       29          480.0000   4.4995527648589743E-03
       30          500.0000   4.4995517059482635E-03
       31          520.0000   4.4995507805477763E-03
       32          540.0000   4.4995499674240014E-03
       33          560.0000   4.4995492490299488E-03
       34          580.0000   4.4995486108374014E-03
       35          600.0000   4.4995480407916981E-03
       36          620.0000   4.4995475288669897E-03
       37          640.0000   4.4995470667037601E-03
       38          660.0000   4.4995466473132847E-03
       39          680.0000   4.4995462648366059E-03
       40          700.0000   4.4995459143477197E-03
       41          720.0000   4.4995455916928264E-03
       42          740.0000   4.4995452933586410E-03
       43          760.0000   4.4995450163644772E-03
       44          780.0000   4.4995447581736630E-03
       45          800.0000   4.4995445166205374E-03
       46          820.0000   4.4995442898504200E-03
       47          840.0000   4.4995440762697824E-03
       48          860.0000   4.4995438745051913E-03
       49          880.0000   4.4995436833690974E-03
       50          900.0000   4.4995435018313811E-03
       51          920.0000   4.4995433289956518E-03
       52          940.0000   4.4995431640793811E-03
       53          960.0000   4.4995430063973175E-03
       54          980.0000   4.4995428553474296E-03
       55         1000.0000   4.4995427103991627E-03
