 #.record         time (fs)       #.carrier/u.c.    mean velocity parallel to ext. field
        0            0.0000   2.6127782603733124E-03   2.1719294342148563E-02
        1          500.0000   2.6127762452405668E-03  -4.2587375692442795E+06
        2         1000.0000   2.6127761490496145E-03  -6.7690993515473055E+06
        3         1500.0000   2.6127794635979066E-03  -8.2129807658969229E+06
        4         2000.0000   2.6127865026253014E-03  -8.9964066307616532E+06
        5         2500.0000   2.6127971853229038E-03  -9.3767476435760539E+06
        6         3000.0000   2.6128113459202196E-03  -9.5223296536593903E+06
        7         3500.0000   2.6128283670624115E-03  -9.5436042152486946E+06
        8         4000.0000   2.6128470633617396E-03  -9.5092792153839562E+06
        9         4500.0000   2.6128660408444256E-03  -9.4576322278560828E+06
       10         5000.0000   2.6128840616022738E-03  -9.4067376969884802E+06
       11         5500.0000   2.6129002338487087E-03  -9.3629995924716089E+06
       12         6000.0000   2.6129140576342364E-03  -9.3271372487743758E+06
       13         6500.0000   2.6129253780975679E-03  -9.2977595628182143E+06
       14         7000.0000   2.6129342916446380E-03  -9.2731756261911988E+06
       15         7500.0000   2.6129410454596956E-03  -9.2521038630320150E+06
       16         8000.0000   2.6129459561532501E-03  -9.2337851990269627E+06
       17         8500.0000   2.6129493550292870E-03  -9.2178429978827778E+06
       18         9000.0000   2.6129515558492764E-03  -9.2040948624452911E+06
       19         9500.0000   2.6129528379383077E-03  -9.1924118258210737E+06
       20        10000.0000   2.6129534389274164E-03  -9.1826462729047332E+06
