 # time (fs)    drift velocity (cm/s)    drift acceleration (cm/s2)
          20.0000  -2.1634201470825513E+05  -1.0756486505333254E+04
          30.0000  -3.2271459334352741E+05  -1.0637257863527228E+04
          40.0000  -4.2791405086386210E+05  -1.0519945752033469E+04
          50.0000  -5.3195877884900966E+05  -1.0404472798514757E+04
          60.0000  -6.3486645375200419E+05  -1.0290767490299453E+04
          70.0000  -7.3665408980132744E+05  -1.0178763604932325E+04
          80.0000  -8.3733808685427858E+05  -1.0068399705295113E+04
          90.0000  -9.3693427376294590E+05  -9.9596186908667332E+03
         100.0000  -1.0354579477428924E+06  -9.8523673979946525E+03
         110.0000  -1.1329239101736385E+06  -9.7465962430746058E+03
         120.0000  -1.2293464992077153E+06  -9.6422589034076773E+03
         130.0000  -1.3247396195199597E+06  -9.5393120312244391E+03
         140.0000  -1.4191167694896697E+06  -9.4377149969710044E+03
         150.0000  -1.5124910660744340E+06  -9.3374296584764270E+03
         160.0000  -1.6048752676049662E+06  -9.2384201530532209E+03
         170.0000  -1.6962817947044664E+06  -9.1406527099500181E+03
         180.0000  -1.7867227495136978E+06  -9.0440954809231444E+03
         190.0000  -1.8762099333830392E+06  -8.9487183869341388E+03
         200.0000  -1.9647548631755842E+06  -8.8544929792545045E+03
         210.0000  -2.0523687863100267E+06  -8.7613923134442412E+03
         220.0000  -2.1390626946585318E+06  -8.6693908348505156E+03
         230.0000  -2.2248473374031307E+06  -8.5784642744598914E+03
         240.0000  -2.3097332329431572E+06  -8.4885895540026486E+03
         250.0000  -2.3937306799375974E+06  -8.3997446994440161E+03
         260.0000  -2.4768497675570822E+06  -8.3119087619484872E+03
         270.0000  -2.5591003850136837E+06  -8.2250617456601467E+03
         280.0000  -2.6404922304294142E+06  -8.1391845415730495E+03
         290.0000  -2.7210348190989061E+06  -8.0542588669491934E+03
         300.0000  -2.8007374911963008E+06  -7.9702672097394707E+03
         310.0000  -2.8796094189716568E+06  -7.8871927775355989E+03
         320.0000  -2.9576596134781484E+06  -7.8050194506491534E+03
         330.0000  -3.0348969308672980E+06  -7.7237317389149684E+03
         340.0000  -3.1113300782863731E+06  -7.6433147419075012E+03
         350.0000  -3.1869676194087570E+06  -7.5637541122383900E+03
         360.0000  -3.2618179796256567E+06  -7.4850360216899771E+03
         370.0000  -3.3358894509246633E+06  -7.4071471299006607E+03
         380.0000  -3.4091901964788497E+06  -7.3300745554186406E+03
         390.0000  -3.4817282549676951E+06  -7.2538058488845363E+03
         400.0000  -3.5535115446496904E+06  -7.1783289681995284E+03
         410.0000  -3.6245478672043402E+06  -7.1036322554649787E+03
         420.0000  -3.6948449113603267E+06  -7.0297044155986514E+03
         430.0000  -3.7644102563247890E+06  -6.9565344964462329E+03
         440.0000  -3.8332513750276738E+06  -6.8841118702884760E+03
         450.0000  -3.9013756371938759E+06  -6.8124262166202070E+03
         460.0000  -3.9687903122551013E+06  -6.7414675061225425E+03
         470.0000  -4.0355025721119866E+06  -6.6712259856885303E+03
         480.0000  -4.1015194937567082E+06  -6.6016921644721642E+03
         490.0000  -4.1668480617651544E+06  -6.5328568008446136E+03
         500.0000  -4.2314951706671091E+06  -6.4647108901954725E+03
         510.0000  -4.2954676272024941E+06  -6.3972456535384990E+03
         520.0000  -4.3587721524706949E+06  -6.3304525268200787E+03
         530.0000  -4.4214153839798281E+06  -6.2643231509133238E+03
         540.0000  -4.4834038776020771E+06  -6.1988493622248989E+03
         550.0000  -4.5447441094410550E+06  -6.1340231838977897E+03
         560.0000  -4.6054424776162701E+06  -6.0698368175215091E+03
         570.0000  -4.6655053039698564E+06  -6.0062826353586279E+03
         580.0000  -4.7249388357002232E+06  -5.9433531730366867E+03
         590.0000  -4.7837492469266374E+06  -5.8810411226414144E+03
         600.0000  -4.8419426401891755E+06  -5.8193393262538129E+03
         610.0000  -4.8995250478873122E+06  -5.7582407698136758E+03
         620.0000  -4.9565024336610297E+06  -5.6977385773717424E+03
         630.0000  -5.0128806937173232E+06  -5.6378260056293566E+03
         640.0000  -5.0686656581054693E+06  -5.5784964388146063E+03
         650.0000  -5.1238630919435220E+06  -5.5197433838052675E+03
         660.0000  -5.1784786965991305E+06  -5.4615604655608531E+03
         670.0000  -5.2325181108267391E+06  -5.4039414227608595E+03
         680.0000  -5.2859869118636353E+06  -5.3468801036896184E+03
         690.0000  -5.3388906164872460E+06  -5.2903704623610711E+03
         700.0000  -5.3912346820353195E+06  -5.2344065548073504E+03
         710.0000  -5.4430245073912693E+06  -5.1789825355949815E+03
         720.0000  -5.4942654339362187E+06  -5.1240926544949416E+03
         730.0000  -5.5449627464697035E+06  -5.0697312533484774E+03
         740.0000  -5.5951216741003525E+06  -5.0158927630648950E+03
         750.0000  -5.6447473911082270E+06  -4.9625717007874509E+03
         760.0000  -5.6938450177802946E+06  -4.9097626672067681E+03
         770.0000  -5.7424196212200839E+06  -4.8574603439789262E+03
         780.0000  -5.7904762161331251E+06  -4.8056594913041217E+03
         790.0000  -5.8380197655891720E+06  -4.7543549456046894E+03
         800.0000  -5.8850551817623535E+06  -4.7035416173181493E+03
         810.0000  -5.9315873266503187E+06  -4.6532144887965169E+03
         820.0000  -5.9776210127734495E+06  -4.6033686123130847E+03
         830.0000  -6.0231610038550179E+06  -4.5539991081568414E+03
         840.0000  -6.0682120154832592E+06  -4.5051011628241276E+03
         850.0000  -6.1127787157560186E+06  -4.4566700272759426E+03
         860.0000  -6.1568657259091195E+06  -4.4087010153100828E+03
         870.0000  -6.2004776209289571E+06  -4.3611895019837657E+03
         880.0000  -6.2436189301500013E+06  -4.3141309221044185E+03
         890.0000  -6.2862941378382100E+06  -4.2675207688208666E+03
         900.0000  -6.3285076837606421E+06  -4.2213545922432095E+03
         910.0000  -6.3702639637420820E+06  -4.1756279981439930E+03
         920.0000  -6.4115673302093195E+06  -4.1303366467237474E+03
         930.0000  -6.4524220927234218E+06  -4.0854762514102272E+03
         940.0000  -6.4928325185006894E+06  -4.0410425777267665E+03
         950.0000  -6.5328028329228302E+06  -3.9970314422140827E+03
         960.0000  -6.5723372200366613E+06  -3.9534387113831008E+03
         970.0000  -6.6114398230438838E+06  -3.9102603007222524E+03
         980.0000  -6.6501147447814159E+06  -3.8674921737532131E+03
         990.0000  -6.6883660481925039E+06  -3.8251303411087952E+03
        1000.0000  -6.7261977567892317E+06  -3.7831708596727813E+03
        1010.0000  -6.7636138551066220E+06  -3.7416098317390306E+03
        1020.0000  -6.8006182891486008E+06  -3.7004434041978793E+03
        1030.0000  -6.8372149668264845E+06  -3.6596677677883768E+03
        1040.0000  -6.8734077583898073E+06  -3.6192791563322767E+03
        1050.0000  -6.9092004968503602E+06  -3.5792738460552878E+03
        1060.0000  -6.9445969783990271E+06  -3.5396481548666952E+03
        1070.0000  -6.9796009628164088E+06  -3.5003984417381698E+03
        1080.0000  -7.0142161738768173E+06  -3.4615211060408501E+03
        1090.0000  -7.0484462997463588E+06  -3.4230125869541430E+03
        1100.0000  -7.0822949933751281E+06  -3.3848693628769370E+03
        1110.0000  -7.1157658728835275E+06  -3.3470879508399403E+03
        1120.0000  -7.1488625219434025E+06  -3.3096649059874935E+03
        1130.0000  -7.1815884901536554E+06  -3.2725968210252931E+03
        1140.0000  -7.2139472934107445E+06  -3.2358803257089107E+03
        1150.0000  -7.2459424142743731E+06  -3.1995120863628572E+03
        1160.0000  -7.2775773023281274E+06  -3.1634888053754344E+03
        1170.0000  -7.3088553745356305E+06  -3.1278072207503019E+03
