 #.record         time (fs)       #.carrier/u.c. 
        0            0.0000   7.9026044564288239E-05
        1           50.0000   7.9023421053325376E-05
        2          100.0000   7.9020773756962445E-05
        3          150.0000   7.9018102992373562E-05
        4          200.0000   7.9015409078538203E-05
        5          250.0000   7.9012692335659040E-05
        6          300.0000   7.9009953084630832E-05
        7          350.0000   7.9007191646556844E-05
        8          400.0000   7.9004408342309582E-05
        9          450.0000   7.9001603492131225E-05
       10          500.0000   7.8998777415271919E-05
       11          550.0000   7.8995930429662256E-05
       12          600.0000   7.8993062851617446E-05
       13          650.0000   7.8990174995570580E-05
       14          700.0000   7.8987267173832911E-05
       15          750.0000   7.8984339696379059E-05
       16          800.0000   7.8981392870654704E-05
       17          850.0000   7.8978427001405522E-05
       18          900.0000   7.8975442390525561E-05
       19          950.0000   7.8972439336923004E-05
       20         1000.0000   7.8969418136402858E-05
       21         1050.0000   7.8966379081564170E-05
       22         1100.0000   7.8963322461711354E-05
       23         1150.0000   7.8960248562778246E-05
       24         1200.0000   7.8957157667263451E-05
       25         1250.0000   7.8954050054176993E-05
       26         1300.0000   7.8950925998996050E-05
       27         1350.0000   7.8947785773630260E-05
       28         1400.0000   7.8944629646394846E-05
       29         1450.0000   7.8941457881991371E-05
       30         1500.0000   7.8938270741495638E-05
       31         1550.0000   7.8935068482351181E-05
       32         1600.0000   7.8931851358369172E-05
       33         1650.0000   7.8928619619732910E-05
       34         1700.0000   7.8925373513007613E-05
       35         1750.0000   7.8922113281154071E-05
       36         1800.0000   7.8918839163546098E-05
       37         1850.0000   7.8915551395992043E-05
       38         1900.0000   7.8912250210758789E-05
       39         1950.0000   7.8908935836599035E-05
       40         2000.0000   7.8905608498780881E-05
       41         2050.0000   7.8902268419119964E-05
       42         2100.0000   7.8898915816013237E-05
       43         2150.0000   7.8895550904475070E-05
       44         2200.0000   7.8892173896174197E-05
       45         2250.0000   7.8888784999472795E-05
       46         2300.0000   7.8885384419466394E-05
       47         2350.0000   7.8881972358024806E-05
       48         2400.0000   7.8878549013834123E-05
       49         2450.0000   7.8875114582439436E-05
       50         2500.0000   7.8871669256287932E-05
